Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
132,31,18,198,0,Some Random Commen with Id 132
133,32,31,178,5,Some Random Commen with Id 133
134,32,31,128,4,Some Random Commen with Id 134
135,32,31,78,7,Some Random Commen with Id 135
136,32,31,197,6,Some Random Commen with Id 136
137,32,31,106,4,Some Random Commen with Id 137
138,32,31,34,4,Some Random Commen with Id 138
139,32,31,62,9,Some Random Commen with Id 139
140,32,31,0,7,Some Random Commen with Id 140
141,33,2,154,3,Some Random Commen with Id 141
142,33,2,1,9,Some Random Commen with Id 142
143,33,2,159,6,Some Random Commen with Id 143
144,33,2,24,3,Some Random Commen with Id 144
145,33,2,177,9,Some Random Commen with Id 145
146,33,2,101,0,Some Random Commen with Id 146
147,33,2,186,4,Some Random Commen with Id 147
148,33,2,147,6,Some Random Commen with Id 148
149,34,6,41,6,Some Random Commen with Id 149
150,35,3,122,3,Some Random Commen with Id 150
151,35,3,44,6,Some Random Commen with Id 151
152,35,3,175,0,Some Random Commen with Id 152
153,35,3,118,5,Some Random Commen with Id 153
154,35,3,80,9,Some Random Commen with Id 154
155,35,3,90,2,Some Random Commen with Id 155
156,36,27,121,9,Some Random Commen with Id 156
157,36,27,131,5,Some Random Commen with Id 157
158,36,27,94,4,Some Random Commen with Id 158
159,36,27,121,4,Some Random Commen with Id 159
160,36,27,188,0,Some Random Commen with Id 160
161,36,27,144,9,Some Random Commen with Id 161
162,36,27,0,5,Some Random Commen with Id 162
163,36,27,170,9,Some Random Commen with Id 163
164,37,34,0,0,Some Random Commen with Id 164
165,37,34,77,0,Some Random Commen with Id 165
166,37,34,23,6,Some Random Commen with Id 166
167,37,34,30,1,Some Random Commen with Id 167
168,37,34,158,3,Some Random Commen with Id 168
169,38,25,44,3,Some Random Commen with Id 169
170,38,25,182,1,Some Random Commen with Id 170
171,38,25,78,8,Some Random Commen with Id 171
172,38,25,35,3,Some Random Commen with Id 172
173,38,25,198,3,Some Random Commen with Id 173
174,38,25,147,8,Some Random Commen with Id 174
175,39,23,116,8,Some Random Commen with Id 175
176,39,23,93,8,Some Random Commen with Id 176
177,39,23,118,8,Some Random Commen with Id 177
178,39,23,42,5,Some Random Commen with Id 178
179,39,23,128,1,Some Random Commen with Id 179
180,39,23,122,2,Some Random Commen with Id 180
181,39,23,100,0,Some Random Commen with Id 181
